EKERDT, JG
SCHLEYER, PV
KHANNA2, SN
HAKKINEN, H
ZHAO2, JJ
WANG5, GH
BRAUNSTEIN2, P
KIM6, KS
JENA2, P
TSUKUDA, T
NEUMARK, DM
BILL, E
PALMER3, RE
MAZZOLDI, P
MATTEI, G
MOLLER2, T
XU22, L
DUNCAN, MA
MARK2, TD
LIEVENS, P
MILANI2, P
KAPPES, MM
PACCHIONI, G
BOWEN1, KH
LEE27, S
JOHNSON3, MA
SCHEIER, P
WANG2, EB
JOHNSON2, BFG
MEIJER4, G
ROSCH, N
KAWAZOE, Y
CASTLEMAN, AW
WANG47, L
GATES4, BC
FREUND2, HJ
WANG5, LS
ZHANG75, Y
ZHANG42, J
WANG54, Y
