PRADEEP, T
MEYERKLAUCKE, W
JELLINEK, J
HOFFMAN, BM
KANJILAL, D
MURRAY, RW
IWASAWA, Y
ZHENG2, LS
SCHAEFER7, HF
PEREZ6, A
WINOGRAD, N
SKORUPA, W
MUNCK, E
VANSANTEN, RA
HEIZ, U
RAITHBY, PR
SESSOLI, R
GOODMAN2, DW
KULMALA, M
DELLANEGRA, S
BRECHIN, EK
HOBZA, P
NAKAJIMA1, A
VONISSENDORFF, B
KONDOW, T
LI5, YG
WU7, ZY
SAYKALLY, RJ
HEDMAN, B
CLERAC, R
YAMADA1, I
HERTEL2, IV
SOLOMON3, EI
MELINON, P
HODGSON, KO
ZANELLO, P
CALVO, F
COOKS, RG
GORDON9, MS
SCHLEYER, PV
KHANNA2, SN
HAKKINEN, H
WOSTE, L
WANG16, Q
ZHAO2, JJ
BUCK1, U
WANG5, GH
BRAUNSTEIN2, P
KIM6, KS
JENA2, P
TSUKUDA, T
BILL, E
PALMER3, RE
MAZZOLDI, P
MULLER10, A
FRAUENHEIM, T
MOLLER2, T
MATTEI, G
XU22, L
SONG, YL
DUNCAN, MA
CANESCHI, A
MARK2, TD
LIEVENS, P
MILANI2, P
PACCHIONI, G
BOWEN1, KH
CHRISTOU, G
LEE27, S
JOHNSON3, MA
SCHEIER, P
LIU72, Y
WANG2, EB
JOHNSON2, BFG
MEIJER4, G
ROSCH, N
KAWAZOE, Y
FENSKE, D
CASTLEMAN, AW
SCHMID5, G
WANG47, L
WERNSDORFER, W
GATES4, BC
FREUND2, HJ
WANG5, LS
ZHANG75, Y
ZHANG42, J
WANG54, Y
