KOILLER, B
RAVEAU, B
BAER3, T
SANZ, JF
ISOBE3, K
FREEMAN1, AJ
KIRITANI, M
SOUKIASSIAN, P
PIGNOLET, LH
ORO, LA
MENON5, M
VIKHNIN, VS
BOUFENDI, L
GRANGE, P
HONO, K
GUPTA, NM
MALRIEU, JP
BENNEMANN, KH
EICEMAN, GA
SLANINA, Z
PROSERPIO, DM
AKINAGA, H
SPIESS, HW
SINGH2, BN
HAINFELD, JF
ESTREICHER, SK
FARIZON, M
KATIYAR, RS
STEGGERDA, JJ
FENG, JK
GARVEY, JF
ROZIERE, J
BASSET, JM
WILLETT, GD
JOHNSON4, RL
FREISER, BS
AVERBACK, RS
HOR, TSA
GRIMES, RN
GAILLARD, MJ
MARIANI, C
MELLOCH, MR
SANCHE, L
JONES1, DJ
WOODALL, JM
WINGE, DR
JUPILLE, J
ZEWAIL, AH
WANG20, XY
FADLEY, CS
HACKETT, PA
ANDERSON3, SL
FELKER, PM
DOLG, M
SCUSERIA, GE
WIBERG, N
WHALEY4, KB
KREIBIG, U
ZHANG5, JZ
LUKEHART, CM
CURTISS2, LA
OHTA6, T
HILLIER, IH
GONZALEZELIPE, AR
SEFF, K
COHEN3, RE
PUDDEPHATT, RJ
SAENGER, W
SHAPLEY, JR
ALVES2, MCM
WEAVER2, JH
MOULIJN, JA
MICHALIK, J
LEFRANT, S
MOISEEV1, II
CHOI2, SC
BECKER1, JA
MURRELL, JC
SHIBAHARA1, T
FEHLNER, TP
STIETZ, F
CLEMMER, DE
CHEN4, KJ
SCHMIDT3, R
ANDRES2, RP
WU5, XT
JAEGER2, NI
BAWENDI, MG
TIEKINK, ERT
BROGLIA, RA
ERKOC, S
REIFENBERGER, R
SCHLAPBACH, L
MADEY, TE
QUE2, L
YAMAGUCHI16, T
RIERA, V
BRONSTEIN, LM
BOUBEKEUR, K
TREMEL, W
SHUH, DK
MOSZYNSKI, R
OURA, K
ZAHN3, DRT
CARDENAS1, G
TSUKERBLAT, BS
HITCHCOCK, AP
LIU10, HF
MANNINEN2, M
KOLB3, DM
SCHOONHEYDT, RA
PRAWER, S
YANG11, SH
PELLIN, MJ
SHIROMARU, H
CHEN15, W
MURAMATSU2, Y
SUZDALEV3, IP
BELLONI, J
LIFSHITZ1, E
LIEBER, CM
GEORGE2, GN
CHI3, Y
SCHLAG2, EW
KROTO, HW
KAUZLARICH, SM
WANDELT, K
DELMON, B
VITTADINI, A
STOECKLIEVANS, H
REGNARD, JR
MAHAMUNI, S
CAMMACK, R
SCOLES, G
HIRAOKA2, K
RICHMOND2, MG
LIFSHITZ2, C
CANUT, B
WAKABAYASHI3, T
XU4, GQ
JACOBS1, PA
DOSSI, C
MOROKUMA, K
ZUHR, RA
CAMPBELL1, CT
TERZIS, A
SATYANARAYANA, CVV
PILENI, MP
GAO3, Z
ALIVISATOS, AP
KANATZIDIS, MG
RAO2, CNR
DEMANGEAT, C
SPATZ, JP
SCHMIDBAUR, H
SIMONS2, JP
TRAGER, F
NEMUKHIN, AV
ROSSELL, O
REETZ, MT
FUKE, K
TUROV, VV
SECO, M
LIPPARD, SJ
PANDEY3, R
BRECHIGNAC, P
ZHIDOMIROV, GM
MISAIZU, F
BACIC, Z
LIN3, IN
HEINIG, KH
MCMAHON2, TB
SONG3, LC
HU, QM
ADAMOWICZ, L
HASHIZUME, T
BOGDANCHIKOVA, NE
KAMAT5, PV
CASARIN, M
BAUMGARTEL, H
MAKSIMOV1, YV
SCHNEIDER, WD
CARTY, AJ
MCGLINCHEY, MJ
ZUBIETA, J
KLEINERMANNS, K
OSELLA, D
MOLLER4, M
CHELIKOWSKY, JR
SHRIVER, DF
VIJAYAMOHANAN, K
TAKEO, H
KUBO2, M
YE2, GX
LEBEYEC, Y
COUCOUVANIS, D
POMOGAILO, AD
NAAMAN, R
NEUSSER, HJ
HWANG2, NM
SALAHUB, DR
HONG1, MC
SCHULZEKLOFF, G
OHASHI1, K
SASTRY2, M
NOZUE, Y
PICCIRILLO, S
SCHAFER4, R
UEDONO, A
SPIEGELMANN, F
ACHIBA, Y
YAMASHITA5, H
ROSEN3, A
SHLUGER, AL
ROESKY, HW
FRAISSARD, J
SAPPA, E
FIORANI, D
SIMON8, A
MIYAMOTO2, A
SKELTON2, BW
WHITE, AH
PENNERHAHN, JE
BAIKER, A
KANHERE, DG
CAHUZAC, P
MINGOS, DMP
DELGADOBARRIO, G
RYOO, R
KUBIAK, CP
DOLGUSHIN, FM
STUCKY, GD
HVELPLUND, P
JIANG4, JC
YANOVSKY, AI
MORI4, H
ELSHALL, MS
GEDANKEN, A
VASAK, M
LEE3, YT
BAUMER3, M
BERTRAND2, P
ZHANG5, RQ
SCOTT1, RA
PETZELT, J
LEWIS2, J
KOTANI1, A
HUMPHREY3, MG
COMPAGNINI, G
ZWIER, TS
PETTERSSON1, LGM
OKUMURA6, M
VILLARREAL, P
PENG3, SM
LINEBERGER, WC
SCHERMANN, JP
MAIER2, JP
SMALLEY, RE
WHANG2, CN
RAYNER2, DM
HARUTA, M
PSARO, R
BRECHIGNAC, C
BOWERS1, MT
KIM28, S
KONINGSBERGER, DC
CHESHNOVSKY, O
AGREN, H
MULLERDETHLEFS, K
BONNEMANN, H
LERME, J
YANG8, JL
KERN2, K
BRUTSCHY, B
EYCHMULLER, A
MORANTE, JR
BAZIN2, D
POBLET, JM
DITMIRE, T
BERRY2, RS
LI6, YF
MOURA, I
KRAUSEREHBERG, R
STRUCHKOV, YT
STACE, AJ
NIEDNERSCHATTEBURG, G
BARRANCO, M
CEDERBAUM, LS
CHANG2, HC
ARMENTROUT, PB
GUCZI, L
PENNYCOOK, SJ
MOSKOVITS, M
DESFRANCOIS, C
JORTNER, J
LEE5, GH
ADAMS3, MWW
OZIN, GA
HENRY2, CR
ILLENBERGER, E
GUBIN, SP
MATOLIN, V
GOLBECK, JH
HAGEN5, WR
GIANTURCO, FA
LEE3, ST
SUMIYAMA, K
SUZUKI3, R
ICHIKAWA4, M
YAMAGUCHI6, K
TAY, BK
BEHM, RJ
BERTINI, I
NISHI1, N
BONDYBEY, VE
PIREAUX, JJ
ANPO, M
REHR, JJ
GAO4, HJ
HUISKEN, F
RODRIGUEZ4, JA
BRUNE1, H
SACHTLER, WMH
QIAN5, YT
SOMORJAI3, GA
PARRINELLO, M
IGLESIA, E
KAYA, K
PAKKANEN, TA
GUDEL, HU
LEUTWYLER, S
MIKAMI, N
MOURA, JJG
ZENG, XC
WUCHER, A
GARRISON3, BJ
KENNEDY, JD
MATHUR2, P
SAILLARD, JY
ALONSO2, JA
CORONADO, E
SAKURAI6, T
RUHL, E
ADAMS7, RD
TOSHIMA, N
LIN4, SH
CATLOW, CRA
KNOZINGER, H
THOMSON1, AJ
LUCHINAT, C
MIZOKAWA, T
FEDIN, VP
SUHM, MA
FUJIMORI, A
JOUVET, C
EBATA, T
KIM10, SK
DELLAPERGOLA, R
WELLER1, H
GUET, C
JI3, W
MEIWESBROER, KH
SURAUD, E
RAGHAVACHARI, K
HABERLAND, H
TOENNIES, JP
KIELY, CJ
MATSUO, J
REINHARD, PG
SCHWARZ, H
HUANG2, RB
CHAUDRET, B
PELLARIN, M
EBERHARDT, W
ASAKURA2, K
PISERI, P
GONELLA, F
GERBER4, RB
JARROLD, MF
ADACHI5, H
FUJII4, M
PRADEEP, T
XIN2, XQ
HOFFMAN, BM
MURRAY, RW
BATTAGLIN, G
IWASAWA, Y
WALES, DJ
ZHENG2, LS
PEREZ6, A
XANTHEAS, SS
GANTEFOR, G
BARBORINI, E
RHEINGOLD, AL
MUNCK, E
VANSANTEN, RA
VIROVETS, AV
RAITHBY, PR
SESSOLI, R
GOODMAN2, DW
TRAVERSE, A
DELLANEGRA, S
NAKAJIMA1, A
VONHELDEN, G
ILLAS, F
KONDOW, T
SAYKALLY, RJ
HEDMAN, B
LANDMAN, U
YAMADA1, I
HERTEL2, IV
MELINON, P
SOLOMON3, EI
HODGSON, KO
COOKS, RG
GORDON9, MS
WOSTE, L
WANG5, GH
BUCK1, U
BRAUNSTEIN2, P
KIM6, KS
JENA2, P
NEUMARK, DM
WHETTEN, RL
BILL, E
PALMER3, RE
MAZZOLDI, P
MULLER10, A
FRAUENHEIM, T
MATTEI, G
MOLLER2, T
BROYER, M
DUNCAN, MA
CANESCHI, A
MARK2, TD
LIEVENS, P
MILANI2, P
BONACICKOUTECKY, V
KAPPES, MM
PACCHIONI, G
BOWEN1, KH
SCHEIER, P
JOHNSON2, BFG
ROSCH, N
KAWAZOE, Y
GATTESCHI, D
FENSKE, D
CASTLEMAN, AW
SCHMID5, G
GATES4, BC
FREUND2, HJ
WANG5, LS
WANG54, Y
